,business_id,age,our_open,category,American,Mexican,Italian,Japanese,Chinese,Thai,Mediterranean,French,Vietnamese,Greek,Indian,Korean,Hawaiian,African,Spanish,Middle_eastern,Other
0,bRsDZ44CD3uhGnRY3NeQhQ,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Pk4ZwXwUU50BDn5gqw_rKg,0,1,Italian,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m_a0-8_wR1ypvZzDGeSIgA,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Ieelu69Y23nbjKG3OGfwnw,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,UbP_JuB-zHHfLz2dvKe9yw,0,1,Mexican,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,eOnMGfoj3YOxGPDjrDE-sg,0,1,Chinese,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,owJ_0-9YBYfy40YD7l_KSA,3,0,American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Q7SAbnbAhr5n3_S6tF0fQg,2,0,American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,RG14VD07mNN-oXeTAYB8Fg,0,1,American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,fDagm540ieAAh5G9LA27Yg,0,1,Mediterranean,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,T55nNWr06T492oDUh0R8bQ,0,1,Mexican,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,_rt-Z934kfFzgG19nTrIcQ,0,1,Mexican,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,JT4iSwV0aAlK68SCRNImZg,1,0,Mexican,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,z6JaSGEBzdUArV3_EeLobQ,1,0,French,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,J8Ha6yIvGoU-E31jnCq7Ew,0,1,American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,zZIWHmITwqaC8OhnPkjEIQ,0,1,American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,S72ahVmIDe-6TyUpE7vAbQ,0,1,Mexican,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,pCg4oRweZQnoXo2j7_-BqQ,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,w89ay2pZDTd-3cJsRlx22Q,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,YKwVqpzIUv97eH-67_8kHA,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,mW4zQv4EMCWvBm-w2DDsmw,0,1,Mexican,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,n4OfDk1DVonztaP1dOiu0Q,1,0,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,2nhlPok44wss9C_nGWKEiw,2,0,Indian,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,tmvswVDr4n56EjWq_RptBA,0,1,Italian,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,lITQyMEAaDhLoeeviOGbSw,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,2SbmgX5eHK4EMaIJmO1qbw,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,4THc7ojs6ppNHKhLl74www,0,1,Chinese,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,DSEsFWzM3UCq54E2X0P9Zg,0,1,Italian,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4XLSNVJcveUz2P8cck9OZA,0,1,Mexican,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,MYmjlLFFhlybZF5mU17Cjw,0,1,Korean,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30,cmFvz2m5NIyq9PAo4-qCGA,0,1,American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,XovcJKKqZJ2js8LpO9An-g,3,0,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,l5BVLjKzSCQMHNz24tGUcw,0,1,American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,AvodWkE8KeDVIjIKqqgT7w,0,1,Italian,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,_jYt69Zx1SUo_V9z0m7Ljg,0,1,American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,oug5bLTWP_YTtj1C3_X6Xw,0,1,American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,bZiIIUcpgxh8mpKMDhdqbA,0,1,American,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,p99DZXmdF7smudK9FnlC9A,0,1,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,5N4bHv9sTm1JsDqhDWz-tA,0,1,Mexican,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
